Entity,Code,Judicial corruption score (central estimate)
Afghanistan,AFG,-0.449
Albania,ALB,0.202
Algeria,DZA,-0.773
Angola,AGO,-0.137
Argentina,ARG,0.091
Armenia,ARM,0.609
Australia,AUS,2.243
Austria,AUT,2.279
Azerbaijan,AZE,-3.261
Bahrain,BHR,1.447
Bangladesh,BGD,-1.629
Barbados,BRB,1.568
Belarus,BLR,0.899
Belgium,BEL,2.059
Benin,BEN,0.861
Bhutan,BTN,0.621
Bolivia,BOL,-1.581
Bosnia and Herzegovina,BIH,-0.872
Botswana,BWA,1.341
Brazil,BRA,0.88
Bulgaria,BGR,-0.27
Burkina Faso,BFA,-1.726
Burundi,BDI,-1.934
Cambodia,KHM,-1.569
Cameroon,CMR,-1.715
Canada,CAN,3.138
Cape Verde,CPV,0.995
Central African Republic,CAF,-0.801
Chad,TCD,-1.36
Chile,CHL,1.591
China,CHN,-1.004
Colombia,COL,0.829
Comoros,COM,-2.176
Congo,COG,-1.703
Costa Rica,CRI,1.408
Cote d'Ivoire,CIV,-1.063
Croatia,HRV,1.086
Cuba,CUB,0.571
Cyprus,CYP,1.646
Czechia,CZE,1.64
Democratic Republic of Congo,COD,-1.704
Denmark,DNK,3.66
Djibouti,DJI,-0.607
Dominican Republic,DOM,-0.732
East Timor,TLS,1.044
Ecuador,ECU,-0.422
Egypt,EGY,-0.982
El Salvador,SLV,-0.635
Equatorial Guinea,GNQ,-1.313
Eritrea,ERI,-0.745
Estonia,EST,2.463
Eswatini,SWZ,1.082
Ethiopia,ETH,-1.594
Fiji,FJI,0.809
Finland,FIN,2.637
France,FRA,1.831
Gabon,GAB,-0.049
Gambia,GMB,0.941
Georgia,GEO,1.399
Germany,DEU,2.62
Ghana,GHA,-1.457
Greece,GRC,0.556
Guatemala,GTM,-1.974
Guinea,GIN,-1.932
Guinea-Bissau,GNB,-1.042
Guyana,GUY,-0.385
Haiti,HTI,-1.054
Honduras,HND,-0.713
Hong Kong,HKG,3.574
Hungary,HUN,0.989
Iceland,ISL,3.404
India,IND,0.071
Indonesia,IDN,-0.334
Iran,IRN,-1.072
Iraq,IRQ,-1.176
Ireland,IRL,1.94
Israel,ISR,2.041
Italy,ITA,0.932
Jamaica,JAM,1.537
Japan,JPN,2.639
Jordan,JOR,0.519
Kazakhstan,KAZ,-1.013
Kenya,KEN,0.993
Kosovo,OWID_KOS,0.846
Kuwait,KWT,0.766
Kyrgyzstan,KGZ,-1.325
Laos,LAO,-0.816
Latvia,LVA,1.543
Lebanon,LBN,-0.914
Lesotho,LSO,-0.015
Liberia,LBR,-1.759
Libya,LBY,-1.389
Lithuania,LTU,0.757
Luxembourg,LUX,1.499
Madagascar,MDG,-1.216
Malawi,MWI,-0.523
Malaysia,MYS,1.008
Maldives,MDV,-0.071
Mali,MLI,-0.494
Malta,MLT,1.643
Mauritania,MRT,-2.446
Mauritius,MUS,0.637
Mexico,MEX,0.33
Moldova,MDA,-0.549
Mongolia,MNG,-0.197
Montenegro,MNE,0.899
Morocco,MAR,-0.295
Mozambique,MOZ,-0.699
Myanmar,MMR,-1.679
Namibia,NAM,0.92
Nepal,NPL,-1.01
Netherlands,NLD,3.331
New Zealand,NZL,3.769
Nicaragua,NIC,-2.221
Niger,NER,-0.462
Nigeria,NGA,-1.71
North Korea,PRK,-0.918
North Macedonia,MKD,-1.538
Norway,NOR,2.652
Oman,OMN,1.525
Pakistan,PAK,-1.84
Panama,PAN,0.337
Papua New Guinea,PNG,1.538
Paraguay,PRY,-1.154
Peru,PER,-0.777
Philippines,PHL,-1.731
Poland,POL,2.061
Portugal,PRT,0.74
Qatar,QAT,0.551
Romania,ROU,0.266
Russia,RUS,-0.559
Rwanda,RWA,0.917
Sao Tome and Principe,STP,0.716
Saudi Arabia,SAU,0.55
Senegal,SEN,0.249
Serbia,SRB,-1.647
Seychelles,SYC,2.375
Sierra Leone,SLE,-0.376
Singapore,SGP,2.609
Slovakia,SVK,0.73
Slovenia,SVN,1.675
Solomon Islands,SLB,0.508
Somalia,SOM,-2.257
Somaliland,OWID_SML,-0.411
South Africa,ZAF,0.277
South Korea,KOR,1.59
South Sudan,SSD,-1.055
Spain,ESP,1.684
Sri Lanka,LKA,1.051
Sudan,SDN,-1.698
Suriname,SUR,1.999
Sweden,SWE,2.605
Switzerland,CHE,2.315
Syria,SYR,-0.628
Taiwan,TWN,0.785
Tajikistan,TJK,-1.638
Tanzania,TZA,-0.355
Thailand,THA,-0.166
Togo,TGO,-1.668
Trinidad and Tobago,TTO,1.457
Tunisia,TUN,-0.863
Turkey,TUR,-1.24
Turkmenistan,TKM,-1.123
Uganda,UGA,-0.653
Ukraine,UKR,-0.797
United Arab Emirates,ARE,1.833
United Kingdom,GBR,1.756
United States,USA,2.865
Uruguay,URY,2.66
Uzbekistan,UZB,-1.499
Vanuatu,VUT,1.442
Venezuela,VEN,-1.911
Vietnam,VNM,-1.168
Yemen,YEM,-1.897
Zambia,ZMB,0.838
Zanzibar,OWID_ZAN,0.433
Zimbabwe,ZWE,-0.796
