Entity,Code,Legislative corruption score
Albania,ALB,-0.753
Algeria,DZA,-0.561
Angola,AGO,-0.46
Argentina,ARG,0.585
Armenia,ARM,-0.098
Australia,AUS,1.748
Austria,AUT,1.071
Azerbaijan,AZE,-2.313
Bahrain,BHR,-0.825
Barbados,BRB,1.703
Belarus,BLR,0.038
Belgium,BEL,1.924
Benin,BEN,0.72
Bhutan,BTN,1.794
Bolivia,BOL,0.054
Bosnia and Herzegovina,BIH,-0.889
Botswana,BWA,0.843
Brazil,BRA,-1.017
Bulgaria,BGR,-1.11
Burkina Faso,BFA,1.708
Burundi,BDI,-0.767
Cambodia,KHM,-0.909
Cameroon,CMR,-1.65
Canada,CAN,1.682
Cape Verde,CPV,0.362
Central African Republic,CAF,-2.522
Chad,TCD,-2.202
Chile,CHL,1.439
China,CHN,0.42
Colombia,COL,-0.627
Comoros,COM,-0.7
Congo,COG,-1.362
Costa Rica,CRI,0.526
Cote d'Ivoire,CIV,0.221
Croatia,HRV,0.291
Cuba,CUB,-0.355
Cyprus,CYP,1.133
Czechia,CZE,1.967
Democratic Republic of Congo,COD,-2.181
Denmark,DNK,3.728
Djibouti,DJI,-0.174
Dominican Republic,DOM,-1.677
East Timor,TLS,1.111
Ecuador,ECU,-0.765
Egypt,EGY,-0.509
El Salvador,SLV,-0.798
Equatorial Guinea,GNQ,-0.718
Estonia,EST,2.165
Eswatini,SWZ,-0.477
Ethiopia,ETH,0.616
Fiji,FJI,0.319
Finland,FIN,1.751
France,FRA,1.524
Gabon,GAB,-1.036
Gambia,GMB,0.947
Georgia,GEO,0.821
Germany,DEU,1.857
Ghana,GHA,0.784
Greece,GRC,0.621
Guatemala,GTM,-2.018
Guinea,GIN,-0.68
Guyana,GUY,1.042
Honduras,HND,-0.95
Hong Kong,HKG,1.233
Hungary,HUN,-1.19
Iceland,ISL,2.266
India,IND,-1.071
Indonesia,IDN,-2.254
Iran,IRN,-1.509
Iraq,IRQ,-1.768
Ireland,IRL,1.666
Israel,ISR,1.138
Italy,ITA,0.515
Jamaica,JAM,1.056
Japan,JPN,1.676
Jordan,JOR,-1.098
Kazakhstan,KAZ,-0.375
Kenya,KEN,-1.479
Kosovo,OWID_KOS,0.427
Kuwait,KWT,0.846
Kyrgyzstan,KGZ,-1.599
Laos,LAO,-1.333
Latvia,LVA,1.447
Lebanon,LBN,-1.113
Lesotho,LSO,-0.777
Liberia,LBR,-1.906
Libya,LBY,-0.918
Lithuania,LTU,0.809
Luxembourg,LUX,2.669
Madagascar,MDG,-2.622
Malawi,MWI,-0.907
Malaysia,MYS,0.003
Maldives,MDV,-0.129
Mali,MLI,-1.265
Malta,MLT,0.907
Mauritania,MRT,-1.248
Mauritius,MUS,-0.791
Mexico,MEX,-1.033
Moldova,MDA,1
Mongolia,MNG,-1.39
Montenegro,MNE,-1.745
Morocco,MAR,-0.717
Mozambique,MOZ,-0.185
Namibia,NAM,0.853
Nepal,NPL,-0.121
Netherlands,NLD,1.954
New Zealand,NZL,2.229
Nicaragua,NIC,-2.237
Nigeria,NGA,-2.434
North Korea,PRK,0.991
North Macedonia,MKD,-1.23
Norway,NOR,3.169
Oman,OMN,0.671
Pakistan,PAK,-2.023
Panama,PAN,-0.757
Papua New Guinea,PNG,-2.314
Paraguay,PRY,-1.699
Peru,PER,-2.436
Philippines,PHL,-1.858
Poland,POL,0.939
Portugal,PRT,0.817
Qatar,QAT,0.382
Romania,ROU,-0.184
Russia,RUS,-1.372
Rwanda,RWA,-0.21
Sao Tome and Principe,STP,1.436
Saudi Arabia,SAU,1.022
Senegal,SEN,0.674
Serbia,SRB,-0.575
Seychelles,SYC,1.991
Sierra Leone,SLE,0.508
Singapore,SGP,2.934
Slovakia,SVK,0.469
Slovenia,SVN,1.73
Solomon Islands,SLB,-1.812
Somalia,SOM,-1.313
Somaliland,OWID_SML,-0.166
South Africa,ZAF,0.201
South Korea,KOR,0.5
South Sudan,SSD,-1.781
Spain,ESP,0.805
Sri Lanka,LKA,-0.686
Suriname,SUR,0.769
Sweden,SWE,2.966
Switzerland,CHE,1.672
Syria,SYR,-1.511
Taiwan,TWN,0.045
Tajikistan,TJK,-0.616
Tanzania,TZA,1.487
Thailand,THA,-0.541
Togo,TGO,-0.304
Trinidad and Tobago,TTO,1.259
Tunisia,TUN,1.013
Turkey,TUR,-1.573
Turkmenistan,TKM,-2.055
Uganda,UGA,-1.438
Ukraine,UKR,-0.645
United Arab Emirates,ARE,2.376
United Kingdom,GBR,1.719
United States,USA,1.028
Uruguay,URY,2.11
Uzbekistan,UZB,-0.971
Vanuatu,VUT,-0.104
Venezuela,VEN,-1.823
Vietnam,VNM,0.487
Yemen,YEM,-1.628
Zambia,ZMB,0.148
Zanzibar,OWID_ZAN,0.414
Zimbabwe,ZWE,-1.486
