Country,Continent,GDP per capita,Corruption Perception Index,Population
Albania,Europe,18919.807,42,2826020
Algeria,Africa,15442.124,34,46278751
Angola,Africa,7344.1455,32,37804634
Argentina,South America,26547.05,37,46057866
Armenia,Asia,20078.785,47,2777979
Australia,Oceania,60082.004,77,26699482
Austria,Europe,63314.46,67,8977139
Azerbaijan,Asia,22072.105,22,10462904
Bahamas,North America,36244.035,65,415223
Bahrain,Asia,59129.14,53,1498712
Bangladesh,Asia,8486.785,23,174701211
Barbados,North America,19945.736,68,282309
Belarus,Europe,29037.53,33,9455037
Belgium,Europe,63083.184,69,11715774
Benin,Africa,3901.326,45,14080072
Bolivia,South America,9844.276,28,12567336
Bosnia and Herzegovina,Europe,20428.525,33,3194378
Botswana,Africa,18068.506,57,2719694
Brazil,South America,19647.91,34,217637297
Bulgaria,Europe,34083.234,43,6618615
Burkina Faso,Africa,2547.9326,41,23840247
Burundi,Africa,835.62085,17,13591657
Cambodia,Asia,7011.5815,21,17121847
Cameroon,Africa,4919.1416,26,29394433
Canada,North America,56691.906,75,39107046
Cape Verde,Africa,9907.589,62,604461
Central African Republic,Africa,1111.6533,24,5915627
Chad,Africa,2605.7717,21,18847148
Chile,South America,30182.787,63,19658839
China,Asia,23845.62,43,1425178782
Colombia,South America,18503.67,39,52340774
Comoros,Africa,3567.514,21,867605
Congo,Africa,6181.4707,23,105625114
Costa Rica,North America,26973.436,58,5246714
Cote d'Ivoire,Africa,6733.154,45,29603302
Croatia,Europe,42631.316,47,3986627
Cyprus,Asia,53252.46,56,1268467
Czechia,Europe,47961.81,56,10503734
Democratic Republic of Congo,Africa,1504.1438,20,6244547
Denmark,Europe,73709,90,5939695
Djibouti,Africa,6841.1665,31,1152329
Dominica,North America,18739.363,60,73368
Dominican Republic,North America,24229.469,36,11434005
East Timor,Asia,4186.215,44,1379883
Ecuador,South America,13935.539,32,18377367
Egypt,Africa,16798.152,30,114484252
El Salvador,North America,11669.082,30,6396289
Equatorial Guinea,Africa,15454.429,13,1754993
Estonia,Europe,41546.12,76,1319041
Eswatini,Africa,10367.269,27,1222075
Ethiopia,Africa,2884.2646,37,129719719
Fiji,Oceania,14104.443,55,943072
Finland,Europe,55628.68,88,5549886
France,Europe,54464.98,67,64881830
Gabon,Africa,18923.09,27,2484557
Gambia,Africa,3030.974,38,2841803
Georgia,Asia,25000.633,53,3717425
Germany,Europe,62829.797,75,83252474
