Region,Year,Women Political Empowerment (Central Estimate),Electoral Democracy (Central Estimate)
Africa,1900,0.07993607,0.030682117
Africa,1901,0.08039223,0.031239305
Africa,1902,0.08600823,0.03290539
Africa,1903,0.08680988,0.03321924
Africa,1904,0.0895331,0.03402377
Africa,1905,0.089642175,0.034237955
Africa,1906,0.090112574,0.034543116
Africa,1907,0.090224035,0.035294637
Africa,1908,0.0903414,0.035549406
Africa,1909,0.09058366,0.03571982
Africa,1910,0.09099269,0.037223425
Africa,1911,0.09274264,0.03952003
Africa,1912,0.09471068,0.039902523
Africa,1913,0.0947651,0.038392037
Africa,1914,0.13780712,0.053517863
Africa,1915,0.14380756,0.055077963
Africa,1916,0.14867656,0.055699244
Africa,1917,0.14939113,0.05580286
Africa,1918,0.14964029,0.05606707
Africa,1919,0.15637632,0.058229733
Africa,1920,0.16236037,0.059704043
Africa,1921,0.16247997,0.059934143
Africa,1922,0.16482666,0.06400782
Africa,1923,0.12125953,0.065807916
Africa,1924,0.119787246,0.06938942
Africa,1925,0.11973349,0.069788724
Africa,1926,0.12163047,0.070443936
Africa,1927,0.11587227,0.07071567
Africa,1928,0.11589555,0.07103308
Africa,1929,0.11585049,0.07122968
Africa,1930,0.11670406,0.07125043
Africa,1931,0.11759395,0.06954611
Africa,1932,0.112200335,0.068390615
Africa,1933,0.1019198,0.06852051
Africa,1934,0.10214476,0.068042144
Africa,1935,0.102305,0.068031974
Africa,1936,0.112739824,0.07048425
Africa,1937,0.112743236,0.07072118
Africa,1938,0.112760805,0.07294341
Africa,1939,0.11443561,0.073152855
Africa,1940,0.11605716,0.07310667
Africa,1941,0.11675457,0.073583625
Africa,1942,0.11707561,0.07416601
Africa,1943,0.11696896,0.074637085
Africa,1944,0.11700468,0.07509303
Africa,1945,0.11766,0.07901117
Africa,1946,0.118926495,0.08502045
Africa,1947,0.12711157,0.09117743
Africa,1948,0.12771684,0.09113766
Africa,1949,0.12769221,0.09404571
Africa,1950,0.12798323,0.097165786
Africa,1951,0.12871249,0.102278054
Africa,1952,0.13241985,0.10268901
Africa,1953,0.13657244,0.10045707
Africa,1954,0.13817427,0.102581546
Africa,1955,0.13852514,0.105426334
Africa,1956,0.14265122,0.119968206
Africa,1957,0.14856051,0.14098503
Africa,1958,0.15304612,0.14638822
Africa,1959,0.1521499,0.13751313
Africa,1960,0.19355567,0.16735664
Africa,1961,0.20243669,0.17904107
Africa,1962,0.2099013,0.18500005
Africa,1963,0.22470796,0.20410873
Africa,1964,0.22928178,0.2083986
Africa,1965,0.2530722,0.20173284
Africa,1966,0.32130617,0.17626812
Africa,1967,0.3208176,0.16880658
Africa,1968,0.32120046,0.16938773
Africa,1969,0.3232133,0.16145338
Africa,1970,0.3317526,0.16390905
Africa,1971,0.33273435,0.168194
Africa,1972,0.32597363,0.1594925
Africa,1973,0.3296237,0.156764
Africa,1974,0.33342993,0.15350737
Africa,1975,0.34363157,0.15342194
Africa,1976,0.34972596,0.15562421
Africa,1977,0.34805933,0.16104612
Africa,1978,0.34982088,0.16302538
Africa,1979,0.35971162,0.18245327
Africa,1980,0.30102116,0.20868255
Africa,1981,0.31164396,0.20534565
Africa,1982,0.31274855,0.2042643
Africa,1983,0.38733637,0.19460075
Africa,1984,0.3876118,0.17525458
Africa,1985,0.39455703,0.17615926
Africa,1986,0.3992923,0.18171309
Africa,1987,0.4079316,0.18410577
Africa,1988,0.41107312,0.18820852
Africa,1989,0.4139177,0.1844815
Africa,1990,0.4375942,0.20367177
Africa,1991,0.46180904,0.2213302
Africa,1992,0.47795767,0.24450192
Africa,1993,0.48936322,0.26638106
Africa,1994,0.5309611,0.27500615
Africa,1995,0.54887444,0.3008541
Africa,1996,0.54989254,0.3120629
Africa,1997,0.5498485,0.3129484
Africa,1998,0.5543597,0.3176676
Africa,1999,0.56836665,0.34115446
Africa,2000,0.58717185,0.36019146
Africa,2001,0.59338343,0.36337993
Africa,2002,0.60483134,0.36770165
Africa,2003,0.6094879,0.36834496
Africa,2004,0.618256,0.36759776
Africa,2005,0.6288561,0.37394273
Africa,2006,0.63074565,0.38179624
Africa,2007,0.6340602,0.38813305
Africa,2008,0.63487697,0.3849431
Africa,2009,0.634391,0.37863517
Africa,2010,0.65167904,0.37811533
Africa,2011,0.6498681,0.39456305
Africa,2012,0.65801054,0.4064804
Africa,2013,0.65752554,0.40363535
Africa,2014,0.66174215,0.4075498
Africa,2015,0.66458285,0.40961307
Africa,2016,0.67011124,0.4110249
Africa,2017,0.6789366,0.40793157
Africa,2018,0.68125767,0.40989757
Africa,2019,0.67546636,0.40501782
Africa,2020,0.67563695,0.39908507
Africa,2021,0.6792386,0.38281012
Africa,2022,0.68725264,0.37752903
Africa,2023,0.6841942,0.37252766
Africa,2024,0.678396,0.3642134
Asia,1900,0.16466352,0.063535266
Asia,1901,0.16464232,0.06362068
