Region,Year,Share of population with suffrage
Africa,1900,0.46486488
Africa,1901,0.46486488
Africa,1902,0.4526316
Africa,1903,0.43
Africa,1904,0.5285714
Africa,1905,0.5285714
Africa,1906,0.5285714
Africa,1907,0.5285714
Africa,1908,0.7190476
Africa,1909,0.7190476
Africa,1910,0.9302326
Africa,1911,0.8888889
Africa,1912,0.8888889
Africa,1913,0.8888889
Africa,1914,0.86956525
Africa,1915,0.86956525
Africa,1916,0.81632656
Africa,1917,0.81632656
Africa,1918,0.81632656
Africa,1919,0.8
Africa,1920,0.8076923
Africa,1921,0.86538464
Africa,1922,0.8490566
Africa,1923,0.9433962
Africa,1924,1.8867924
Africa,1925,2.0566037
Africa,1926,2.3018868
Africa,1927,2.3018868
Africa,1928,2.3018868
Africa,1929,2.3018868
Africa,1930,2.3018868
Africa,1931,1.6415094
Africa,1932,1.7692308
Africa,1933,1.7692308
Africa,1934,1.7692308
Africa,1935,1.7692308
Africa,1936,2.5384614
Africa,1937,2.5384614
Africa,1938,2.5384614
Africa,1939,2.5384614
Africa,1940,2.5384614
Africa,1941,2.5384614
Africa,1942,2.5882354
Africa,1943,2.5882354
Africa,1944,2.5882354
Africa,1945,2.5882354
Africa,1946,7.9038463
Africa,1947,8.169811
Africa,1948,10.320755
Africa,1949,12.113208
Africa,1950,12.113208
Africa,1951,13.962963
Africa,1952,16.518518
Africa,1953,16.981482
Africa,1954,16.981482
Africa,1955,18.685184
Africa,1956,27.927778
Africa,1957,49.594444
Africa,1958,51.483334
Africa,1959,52.50185
Africa,1960,58.926414
Africa,1961,63.11111
Africa,1962,64.40741
Africa,1963,73.01852
Africa,1964,76.75926
Africa,1965,79.07407
Africa,1966,79.166664
Africa,1967,81.666664
Africa,1968,83.51852
Africa,1969,83.51852
Africa,1970,83.51852
Africa,1971,83.51852
Africa,1972,84.25926
Africa,1973,84.81481
Africa,1974,84.81481
Africa,1975,89.25926
Africa,1976,90.92593
Africa,1977,90.92593
Africa,1978,90.92593
Africa,1979,92.68519
Africa,1980,93.14815
Africa,1981,93.14815
Africa,1982,95
Africa,1983,95
Africa,1984,95
Africa,1985,95
Africa,1986,95
Africa,1987,95
Africa,1988,95
Africa,1989,96.666664
Africa,1990,96.666664
Africa,1991,94.90909
Africa,1992,94.90909
Africa,1993,94.90909
Africa,1994,94.90909
Africa,1995,98.181816
Africa,1996,98.181816
Africa,1997,98.181816
Africa,1998,98.181816
Africa,1999,98.181816
Africa,2000,98.181816
Africa,2001,98.181816
Africa,2002,98.181816
Africa,2003,100
Africa,2004,100
Africa,2005,100
Africa,2006,100
Africa,2007,100
Africa,2008,100
Africa,2009,100
Africa,2010,100
Africa,2011,100
Africa,2012,98.21429
Africa,2013,98.21429
Africa,2014,98.21429
Africa,2015,98.21429
Africa,2016,98.21786
Africa,2017,98.21786
Africa,2018,98.21786
Africa,2019,98.21786
Africa,2020,98.21786
Africa,2021,98.21786
Africa,2022,98.21786
Africa,2023,98.21786
Africa,2024,98.21786
Asia,1900,0.16666667
Asia,1901,0.16666667
Asia,1902,0.16666667
Asia,1903,0.16666667
Asia,1904,0.16666667
Asia,1905,0.16666667
Asia,1906,0.5
Asia,1907,0.56666666
Asia,1908,1.7333333
Asia,1909,1.8333334
Asia,1910,1.8666667
Asia,1911,1.967742
Asia,1912,3.2580645
Asia,1913,3.2580645
Asia,1914,3.2580645
Asia,1915,3.2580645
Asia,1916,3.7419355
Asia,1917,3.7419355
Asia,1918,3.6
Asia,1919,3.6285715
Asia,1920,6.4
Asia,1921,6.5882354
Asia,1922,8.055555
Asia,1923,9.583333
Asia,1924,16.944445
Asia,1925,16.944445
Asia,1926,18.333334
Asia,1927,18.333334
Asia,1928,19.444445
Asia,1929,19.444445
Asia,1930,19.444445
Asia,1931,20.833334
Asia,1932,21.944445
Asia,1933,27.444445
Asia,1934,27.583334
Asia,1935,27.777779
Asia,1936,27.777779
Asia,1937,29.166666
Asia,1938,29.166666
Asia,1939,29.166666
Asia,1940,29.166666
Asia,1941,29.166666
Asia,1942,29.166666
Asia,1943,29.166666
Asia,1944,29.166666
Asia,1945,28.052631
Asia,1946,29.105263
Asia,1947,40.74359
Asia,1948,41.642857
Asia,1949,47.536587
Asia,1950,51.225
Asia,1951,51.275
Asia,1952,53.775
Asia,1953,55.025
Asia,1954,56.1
Asia,1955,58.075
Asia,1956,62.425
Asia,1957,63.55
Asia,1958,63.55
Asia,1959,65.475
Asia,1960,65.6
Asia,1961,65.6
Asia,1962,66.725
Asia,1963,67.975
Asia,1964,70.225
Asia,1965,68.3
Asia,1966,68.3
Asia,1967,70.725
Asia,1968,72.975
Asia,1969,72.975
Asia,1970,73.1
Asia,1971,74.38095
Asia,1972,75.57143
Asia,1973,75.809525
Asia,1974,75.809525
Asia,1975,77
Asia,1976,75.21951
Asia,1977,77.414635
Asia,1978,77.90244
Asia,1979,77.90244
Asia,1980,77.95122
Asia,1981,80.39024
Asia,1982,80.39024
Asia,1983,80.39024
Asia,1984,80.39024
Asia,1985,80.39024
Asia,1986,79.17073
Asia,1987,79.17073
Asia,1988,79.17073
Asia,1989,79.17073
Asia,1990,84.61224
Asia,1991,85.333336
Asia,1992,85.333336
Asia,1993,85.333336
Asia,1994,85.333336
Asia,1995,85.333336
Asia,1996,87.416664
Asia,1997,87.416664
Asia,1998,87.48542
Asia,1999,87.48542
Asia,2000,87.9375
Asia,2001,88.979164
Asia,2002,90.541664
Asia,2003,91.270836
Asia,2004,91.270836
Asia,2005,92.3125
Asia,2006,92.354164
Asia,2007,92.5102
Asia,2008,94.55102
Asia,2009,94.55102
Asia,2010,94.55102
Asia,2011,94.86122
Asia,2012,94.86122
Asia,2013,94.90204
Asia,2014,94.86122
Asia,2015,95.0449
Asia,2016,95.08572
Asia,2017,95.08572
Asia,2018,95.08572
Asia,2019,95.314285
Asia,2020,95.314285
Asia,2021,95.314285
Asia,2022,95.314285
Asia,2023,95.314285
Asia,2024,95.21667
Europe,1789,1.439394
Europe,1790,1.439394
Europe,1791,1.1363636
Europe,1792,1.7424242
Europe,1793,1.7424242
Europe,1794,1.7424242
Europe,1795,1.439394
Europe,1796,2.6612904
Europe,1797,2.6612904
Europe,1798,4.274194
Europe,1799,4.274194
Europe,1800,4.274194
Europe,1801,2.1129034
Europe,1802,2.1129034
Europe,1803,2.1833334
Europe,1804,2.1129034
Europe,1805,2.1129034
Europe,1806,2.046875
Europe,1807,1.9848485
Europe,1808,2.1129034
Europe,1809,2.2272727
Europe,1810,2.296875
Europe,1811,2.2586207
Europe,1812,3.9827588
Europe,1813,3.7424242
Europe,1814,1.513889
Europe,1815,1.3552632
Europe,1816,1.75
Europe,1817,1.75
Europe,1818,1.7763158
Europe,1819,4.0526314
Europe,1820,6.9473686
Europe,1821,6.9473686
Europe,1822,6.74359
Europe,1823,5.4615383
Europe,1824,5.4615383
Europe,1825,5.4615383
Europe,1826,4.3461537
Europe,1827,4.3461537
Europe,1828,4.3461537
Europe,1829,4.3461537
Europe,1830,4.3
Europe,1831,5.7
Europe,1832,5.95
Europe,1833,6
Europe,1834,6.15
Europe,1835,6.15
Europe,1836,8.3875
Europe,1837,7.3375
Europe,1838,6.525
Europe,1839,6.525
Europe,1840,6.525
Europe,1841,6.65
Europe,1842,6.65
Europe,1843,7.9
Europe,1844,7.9
Europe,1845,7.9
Europe,1846,7.775
Europe,1847,7.775
Europe,1848,18.7375
Europe,1849,23.0875
Europe,1850,17.3375
Europe,1851,16.0625
Europe,1852,16.0625
Europe,1853,16.0375
Europe,1854,16.1875
Europe,1855,16.2125
Europe,1856,16.2125
Europe,1857,16.0875
Europe,1858,17.2125
Europe,1859,17.679487
Europe,1860,16.828947
Europe,1861,18.157143
Europe,1862,17.791666
Europe,1863,18.069445
Europe,1864,19.430555
Europe,1865,19.555555
Europe,1866,18.527779
Europe,1867,18.575758
Europe,1868,19.730768
Europe,1869,21.51923
Europe,1870,21.51923
Europe,1871,23.58
Europe,1872,21.52381
Europe,1873,21.47619
Europe,1874,22.095238
Europe,1875,22.02381
Europe,1876,22.02381
Europe,1877,22.02381
Europe,1878,21.931818
Europe,1879,20.113636
Europe,1880,22.431818
Europe,1881,22.431818
Europe,1882,21.295454
Europe,1883,21.295454
Europe,1884,23.977272
Europe,1885,23.977272
Europe,1886,24.068182
Europe,1887,24.068182
Europe,1888,24.40909
Europe,1889,24.40909
Europe,1890,24.522728
Europe,1891,26.34091
Europe,1892,26.477272
Europe,1893,26.522728
Europe,1894,28.613636
Europe,1895,27.477272
Europe,1896,27.977272
Europe,1897,28.204546
Europe,1898,29.613636
Europe,1899,29.613636
Europe,1900,29.34
Europe,1901,29.34
Europe,1902,29.46
Europe,1903,29.46
Europe,1904,30.1
Europe,1905,31.3
Europe,1906,33.22
Europe,1907,38.26
Europe,1908,38.26
Europe,1909,39.06
Europe,1910,39.26
Europe,1911,39.66
Europe,1912,38.134617
Europe,1913,39.75
Europe,1914,41.096153
Europe,1915,41.096153
Europe,1916,45.903847
Europe,1917,45.903847
Europe,1918,58.24138
Europe,1919,65.3
Europe,1920,71.258064
Europe,1921,73.70968
Europe,1922,75.96774
Europe,1923,75.96774
Europe,1924,75.96774
Europe,1925,75.96774
Europe,1926,75.96774
Europe,1927,75.96774
Europe,1928,75.96774
Europe,1929,75.96774
Europe,1930,75.96774
Europe,1931,76.29032
Europe,1932,77.90323
Europe,1933,79.666664
Europe,1934,79.666664
Europe,1935,79.833336
Europe,1936,79.833336
Europe,1937,80.166664
Europe,1938,79.48276
Europe,1939,79.333336
Europe,1940,77.22222
Europe,1941,74.46429
Europe,1942,74.46429
Europe,1943,74.46429
Europe,1944,75.344826
Europe,1945,79.07407
Europe,1946,84.62963
Europe,1947,89.25926
Europe,1948,89.25926
Europe,1949,88.27586
Europe,1950,91.89655
Europe,1951,91.89655
Europe,1952,91.89655
Europe,1953,93.62069
Europe,1954,93.62069
Europe,1955,93.62069
Europe,1956,93.62069
Europe,1957,93.62069
Europe,1958,93.62069
Europe,1959,93.62069
Europe,1960,96.89655
Europe,1961,96.89655
Europe,1962,96.89655
Europe,1963,96.89655
Europe,1964,96.89655
Europe,1965,96.89655
Europe,1966,96.89655
Europe,1967,96.89655
Europe,1968,96.89655
Europe,1969,96.89655
Europe,1970,97.24138
Europe,1971,97.24138
Europe,1972,98.965515
Europe,1973,98.965515
Europe,1974,98.965515
Europe,1975,100
Europe,1976,100
Europe,1977,100
Europe,1978,100
Europe,1979,100
Europe,1980,100
Europe,1981,100
Europe,1982,100
Europe,1983,100
Europe,1984,100
Europe,1985,100
Europe,1986,100
Europe,1987,100
Europe,1988,100
Europe,1989,100
Europe,1990,100
Europe,1991,100
Europe,1992,100
Europe,1993,100
Europe,1994,100
Europe,1995,100
Europe,1996,100
Europe,1997,100
Europe,1998,100
