Year,Attribute,Value
1789,No universal right to vote,76
1789,Universal right to vote for men only,0
1789,Universal right to vote for men and women,0
1790,No universal right to vote,77
1790,Universal right to vote for men only,0
1790,Universal right to vote for men and women,0
1791,No universal right to vote,77
1791,Universal right to vote for men only,0
1791,Universal right to vote for men and women,0
1792,No universal right to vote,76
1792,Universal right to vote for men only,1
1792,Universal right to vote for men and women,0
1793,No universal right to vote,76
1793,Universal right to vote for men only,1
1793,Universal right to vote for men and women,0
1794,No universal right to vote,76
1794,Universal right to vote for men only,1
1794,Universal right to vote for men and women,0
1795,No universal right to vote,78
1795,Universal right to vote for men only,0
1795,Universal right to vote for men and women,0
1796,No universal right to vote,77
1796,Universal right to vote for men only,0
1796,Universal right to vote for men and women,0
1797,No universal right to vote,77
1797,Universal right to vote for men only,0
1797,Universal right to vote for men and women,0
1798,No universal right to vote,78
1798,Universal right to vote for men only,0
1798,Universal right to vote for men and women,0
1799,No universal right to vote,78
1799,Universal right to vote for men only,0
1799,Universal right to vote for men and women,0
1800,No universal right to vote,79
1800,Universal right to vote for men only,0
1800,Universal right to vote for men and women,0
1801,No universal right to vote,79
1801,Universal right to vote for men only,0
1801,Universal right to vote for men and women,0
1802,No universal right to vote,79
1802,Universal right to vote for men only,0
1802,Universal right to vote for men and women,0
1803,No universal right to vote,79
1803,Universal right to vote for men only,0
1803,Universal right to vote for men and women,0
1804,No universal right to vote,80
1804,Universal right to vote for men only,0
1804,Universal right to vote for men and women,0
1805,No universal right to vote,80
1805,Universal right to vote for men only,0
1805,Universal right to vote for men and women,0
1806,No universal right to vote,81
1806,Universal right to vote for men only,0
1806,Universal right to vote for men and women,0
1807,No universal right to vote,80
1807,Universal right to vote for men only,0
1807,Universal right to vote for men and women,0
1808,No universal right to vote,80
1808,Universal right to vote for men only,0
1808,Universal right to vote for men and women,0
1809,No universal right to vote,82
1809,Universal right to vote for men only,0
1809,Universal right to vote for men and women,0
1810,No universal right to vote,82
1810,Universal right to vote for men only,0
1810,Universal right to vote for men and women,0
1811,No universal right to vote,83
1811,Universal right to vote for men only,0
1811,Universal right to vote for men and women,0
1812,No universal right to vote,83
1812,Universal right to vote for men only,0
1812,Universal right to vote for men and women,0
1813,No universal right to vote,83
1813,Universal right to vote for men only,0
1813,Universal right to vote for men and women,0
1814,No universal right to vote,86
1814,Universal right to vote for men only,0
1814,Universal right to vote for men and women,0
1815,No universal right to vote,87
1815,Universal right to vote for men only,0
1815,Universal right to vote for men and women,0
1816,No universal right to vote,87
1816,Universal right to vote for men only,0
1816,Universal right to vote for men and women,0
1817,No universal right to vote,88
1817,Universal right to vote for men only,0
1817,Universal right to vote for men and women,0
1818,No universal right to vote,88
1818,Universal right to vote for men only,0
1818,Universal right to vote for men and women,0
1819,No universal right to vote,88
1819,Universal right to vote for men only,0
1819,Universal right to vote for men and women,0
1820,No universal right to vote,88
1820,Universal right to vote for men only,0
1820,Universal right to vote for men and women,0
1821,No universal right to vote,88
1821,Universal right to vote for men only,0
1821,Universal right to vote for men and women,0
1822,No universal right to vote,89
1822,Universal right to vote for men only,0
1822,Universal right to vote for men and women,0
1823,No universal right to vote,89
1823,Universal right to vote for men only,0
1823,Universal right to vote for men and women,0
1824,No universal right to vote,89
1824,Universal right to vote for men only,0
1824,Universal right to vote for men and women,0
1825,No universal right to vote,91
1825,Universal right to vote for men only,0
1825,Universal right to vote for men and women,0
1826,No universal right to vote,91
1826,Universal right to vote for men only,0
1826,Universal right to vote for men and women,0
1827,No universal right to vote,91
1827,Universal right to vote for men only,0
1827,Universal right to vote for men and women,0
1828,No universal right to vote,91
1828,Universal right to vote for men only,0
1828,Universal right to vote for men and women,0
1829,No universal right to vote,91
1829,Universal right to vote for men only,0
1829,Universal right to vote for men and women,0
1830,No universal right to vote,94
1830,Universal right to vote for men only,0
1830,Universal right to vote for men and women,0
1831,No universal right to vote,94
1831,Universal right to vote for men only,0
1831,Universal right to vote for men and women,0
1832,No universal right to vote,95
1832,Universal right to vote for men only,0
1832,Universal right to vote for men and women,0
1833,No universal right to vote,95
1833,Universal right to vote for men only,0
1833,Universal right to vote for men and women,0
1834,No universal right to vote,95
1834,Universal right to vote for men only,0
1834,Universal right to vote for men and women,0
1835,No universal right to vote,95
1835,Universal right to vote for men only,0
1835,Universal right to vote for men and women,0
1836,No universal right to vote,95
1836,Universal right to vote for men only,0
1836,Universal right to vote for men and women,0
1837,No universal right to vote,95
1837,Universal right to vote for men only,0
1837,Universal right to vote for men and women,0
1838,No universal right to vote,99
1838,Universal right to vote for men only,0
1838,Universal right to vote for men and women,0
1839,No universal right to vote,100
1839,Universal right to vote for men only,0
1839,Universal right to vote for men and women,0
1840,No universal right to vote,101
1840,Universal right to vote for men only,0
1840,Universal right to vote for men and women,0
1841,No universal right to vote,103
1841,Universal right to vote for men only,0
1841,Universal right to vote for men and women,0
1842,No universal right to vote,103
1842,Universal right to vote for men only,0
1842,Universal right to vote for men and women,0
1843,No universal right to vote,103
1843,Universal right to vote for men only,0
1843,Universal right to vote for men and women,0
1844,No universal right to vote,103
1844,Universal right to vote for men only,1
1844,Universal right to vote for men and women,0
1845,No universal right to vote,104
1845,Universal right to vote for men only,1
1845,Universal right to vote for men and women,0
1846,No universal right to vote,104
1846,Universal right to vote for men only,1
1846,Universal right to vote for men and women,0
1847,No universal right to vote,103
1847,Universal right to vote for men only,2
1847,Universal right to vote for men and women,0
1848,No universal right to vote,101
1848,Universal right to vote for men only,4
1848,Universal right to vote for men and women,0
1849,No universal right to vote,101
1849,Universal right to vote for men only,4
1849,Universal right to vote for men and women,0
1850,No universal right to vote,102
1850,Universal right to vote for men only,3
1850,Universal right to vote for men and women,0
1851,No universal right to vote,101
1851,Universal right to vote for men only,4
1851,Universal right to vote for men and women,0
1852,No universal right to vote,102
1852,Universal right to vote for men only,4
1852,Universal right to vote for men and women,0
1853,No universal right to vote,102
1853,Universal right to vote for men only,5
1853,Universal right to vote for men and women,0
1854,No universal right to vote,103
1854,Universal right to vote for men only,5
1854,Universal right to vote for men and women,0
1855,No universal right to vote,103
1855,Universal right to vote for men only,5
1855,Universal right to vote for men and women,0
1856,No universal right to vote,104
1856,Universal right to vote for men only,5
1856,Universal right to vote for men and women,0
1857,No universal right to vote,104
1857,Universal right to vote for men only,5
1857,Universal right to vote for men and women,0
1858,No universal right to vote,103
1858,Universal right to vote for men only,6
1858,Universal right to vote for men and women,0
1859,No universal right to vote,104
1859,Universal right to vote for men only,6
1859,Universal right to vote for men and women,0
1860,No universal right to vote,104
1860,Universal right to vote for men only,6
1860,Universal right to vote for men and women,0
1861,No universal right to vote,100
1861,Universal right to vote for men only,6
1861,Universal right to vote for men and women,0
1862,No universal right to vote,101
1862,Universal right to vote for men only,6
1862,Universal right to vote for men and women,0
1863,No universal right to vote,102
1863,Universal right to vote for men only,6
1863,Universal right to vote for men and women,0
1864,No universal right to vote,102
1864,Universal right to vote for men only,6
1864,Universal right to vote for men and women,0
1865,No universal right to vote,101
1865,Universal right to vote for men only,7
1865,Universal right to vote for men and women,0
1866,No universal right to vote,101
1866,Universal right to vote for men only,7
1866,Universal right to vote for men and women,0
1867,No universal right to vote,102
1867,Universal right to vote for men only,7
1867,Universal right to vote for men and women,0
1868,No universal right to vote,100
1868,Universal right to vote for men only,6
1868,Universal right to vote for men and women,0
1869,No universal right to vote,99
1869,Universal right to vote for men only,7
1869,Universal right to vote for men and women,0
1870,No universal right to vote,99
1870,Universal right to vote for men only,6
1870,Universal right to vote for men and women,0
1871,No universal right to vote,91
1871,Universal right to vote for men only,7
1871,Universal right to vote for men and women,0
1872,No universal right to vote,91
1872,Universal right to vote for men only,7
1872,Universal right to vote for men and women,0
1873,No universal right to vote,91
1873,Universal right to vote for men only,7
1873,Universal right to vote for men and women,0
1874,No universal right to vote,93
1874,Universal right to vote for men only,8
1874,Universal right to vote for men and women,0
1875,No universal right to vote,94
1875,Universal right to vote for men only,8
1875,Universal right to vote for men and women,0
1876,No universal right to vote,93
1876,Universal right to vote for men only,9
1876,Universal right to vote for men and women,0
1877,No universal right to vote,94
1877,Universal right to vote for men only,9
1877,Universal right to vote for men and women,0
1878,No universal right to vote,97
1878,Universal right to vote for men only,8
1878,Universal right to vote for men and women,0
1879,No universal right to vote,96
1879,Universal right to vote for men only,9
1879,Universal right to vote for men and women,0
1880,No universal right to vote,95
1880,Universal right to vote for men only,10
1880,Universal right to vote for men and women,0
1881,No universal right to vote,95
1881,Universal right to vote for men only,10
1881,Universal right to vote for men and women,0
1882,No universal right to vote,96
1882,Universal right to vote for men only,10
1882,Universal right to vote for men and women,0
1883,No universal right to vote,95
1883,Universal right to vote for men only,11
1883,Universal right to vote for men and women,0
1884,No universal right to vote,100
1884,Universal right to vote for men only,11
1884,Universal right to vote for men and women,0
1885,No universal right to vote,105
1885,Universal right to vote for men only,11
1885,Universal right to vote for men and women,0
1886,No universal right to vote,106
1886,Universal right to vote for men only,11
1886,Universal right to vote for men and women,0
1887,No universal right to vote,107
1887,Universal right to vote for men only,11
1887,Universal right to vote for men and women,0
1888,No universal right to vote,107
1888,Universal right to vote for men only,12
1888,Universal right to vote for men and women,0
1889,No universal right to vote,110
1889,Universal right to vote for men only,12
1889,Universal right to vote for men and women,0
1890,No universal right to vote,111
1890,Universal right to vote for men only,12
1890,Universal right to vote for men and women,0
1891,No universal right to vote,113
1891,Universal right to vote for men only,12
1891,Universal right to vote for men and women,0
1892,No universal right to vote,118
1892,Universal right to vote for men only,12
1892,Universal right to vote for men and women,0
1893,No universal right to vote,120
1893,Universal right to vote for men only,12
1893,Universal right to vote for men and women,1
1894,No universal right to vote,120
1894,Universal right to vote for men only,14
1894,Universal right to vote for men and women,1
1895,No universal right to vote,123
1895,Universal right to vote for men only,14
1895,Universal right to vote for men and women,1
1896,No universal right to vote,122
1896,Universal right to vote for men only,16
1896,Universal right to vote for men and women,1
1897,No universal right to vote,122
1897,Universal right to vote for men only,16
1897,Universal right to vote for men and women,1
1898,No universal right to vote,121
1898,Universal right to vote for men only,17
1898,Universal right to vote for men and women,1
1899,No universal right to vote,123
1899,Universal right to vote for men only,17
1899,Universal right to vote for men and women,1
1900,No universal right to vote,125
1900,Universal right to vote for men only,17
1900,Universal right to vote for men and women,1
1901,No universal right to vote,124
