Entity,Code,Max of Year,Voter turnout of voting-age population
Afghanistan,AFG,2019,9.63
Albania,ALB,2021,68.35
Algeria,DZA,2024,37.12
Angola,AGO,2022,40.49
Argentina,ARG,2023,79.14
Armenia,ARM,2021,54.45
Australia,AUS,2022,75.99
Austria,AUT,2024,65.76
Azerbaijan,AZE,2024,63.65
Bahrain,BHR,2022,21.7
Bangladesh,BGD,2024,42.42
Barbados,BRB,2022,46.2
Belarus,BLR,2024,65.97
Belgium,BEL,2024,75.82
Benin,BEN,2023,37.37
Bhutan,BTN,2024,52.13
Bolivia,BOL,2020,87.57
Bosnia and Herzegovina,BIH,2022,53.94
Botswana,BWA,2024,52.44
Brazil,BRA,2022,74.05
Bulgaria,BGR,2024,44.71
Burkina Faso,BFA,2020,28.88
Burundi,BDI,2020,76.49
Cambodia,KHM,2023,74.75
Cameroon,CMR,2020,23.24
Canada,CAN,2021,55.43
Cape Verde,CPV,2021,56.98
Central African Republic,CAF,2020,20.24
Chad,TCD,2024,69.28
Chile,CHL,2021,59.65
Colombia,COL,2022,62.52
Comoros,COM,2024,35.22
Congo,COG,2021,62.37
Costa Rica,CRI,2022,55.05
Cote d'Ivoire,CIV,2021,17.98
Croatia,HRV,2024,64.26
Cuba,CUB,2023,67.98
Cyprus,CYP,2023,38.21
Czechia,CZE,2023,65.86
Democratic Republic of Congo,COD,2018,41.53
Denmark,DNK,2022,75.65
Djibouti,DJI,2023,26.51
Dominican Republic,DOM,2020,58.61
East Timor,TLS,2023,84.32
Ecuador,ECU,2023,86.08
Egypt,EGY,2023,68.01
El Salvador,SLV,2024,70.29
Equatorial Guinea,GNQ,2022,43
Estonia,EST,2023,62.95
Ethiopia,ETH,2021,63.37
Fiji,FJI,2022,72.49
Finland,FIN,2024,71.82
France,FRA,2024,60.95
Gabon,GAB,2023,34.41
Gambia,GMB,2022,36.92
Georgia,GEO,2024,55.4
Germany,DEU,2021,69.46
Ghana,GHA,2024,58.6
Greece,GRC,2023,68.92
Guatemala,GTM,2023,49.88
Guinea,GIN,2020,65.09
Guinea-Bissau,GNB,2023,67.63
Guyana,GUY,2020,91.49
Haiti,HTI,2016,17.82
Honduras,HND,2021,59.72
Hong Kong,HKG,2016,29.97
Hungary,HUN,2022,71.44
Iceland,ISL,2024,77.68
India,IND,2024,64.25
Indonesia,IDN,2024,82.11
Iran,IRN,2024,38.84
Iraq,IRQ,2021,42.59
Ireland,IRL,2024,54.86
Israel,ISR,2022,78.13
Italy,ITA,2022,56.07
Jamaica,JAM,2020,36.68
Japan,JPN,2024,51.35
Jordan,JOR,2024,23.17
Kazakhstan,KAZ,2023,47.63
Kenya,KEN,2022,46.1
Kosovo,OWID_KOS,2021,65.3
Kuwait,KWT,2024,23.93
Kyrgyzstan,KGZ,2021,35.75
Laos,LAO,2021,83.07
Latvia,LVA,2022,60.85
Lebanon,LBN,2022,51.29
Lesotho,LSO,2022,38.69
Liberia,LBR,2023,68.2
Libya,LBY,2014,15.64
Lithuania,LTU,2024,67.05
Luxembourg,LUX,2023,47.25
Madagascar,MDG,2024,32.49
Malawi,MWI,2020,44.32
Malaysia,MYS,2022,63.6
Maldives,MDV,2024,73.69
Mali,MLI,2020,30.56
Malta,MLT,2022,77.41
Mauritania,MRT,2024,42.79
Mauritius,MUS,2019,69.45
Mexico,MEX,2024,63.72
Moldova,MDA,2024,56.92
Mongolia,MNG,2024,64.08
Montenegro,MNE,2023,80.41
Morocco,MAR,2021,35.94
Mozambique,MOZ,2024,49.92
Myanmar,MMR,2020,70.51
Namibia,NAM,2024,66.68
Nepal,NPL,2022,53.84
Netherlands,NLD,2023,72.65
New Zealand,NZL,2023,73.4
Nicaragua,NIC,2021,63.87
Niger,NER,2021,48.68
Nigeria,NGA,2023,20.6
North Macedonia,MKD,2024,58.3
Norway,NOR,2021,69.33
Oman,OMN,2023,21.26
Pakistan,PAK,2024,40.99
Panama,PAN,2024,74.11
Papua New Guinea,PNG,2017,59.28
Paraguay,PRY,2023,55.35
Peru,PER,2021,83.63
Philippines,PHL,2022,78.7
Poland,POL,2023,67.92
Portugal,PRT,2024,75.29
Romania,ROU,2020,32.8
Russia,RUS,2024,77.76
Rwanda,RWA,2024,117.03
Sao Tome and Principe,STP,2022,68.12
Senegal,SEN,2024,45.65
Serbia,SRB,2023,69.23
Seychelles,SYC,2020,88.83
Sierra Leone,SLE,2023,59.71
Singapore,SGP,2023,54.31
Slovakia,SVK,2024,49.89
Slovenia,SVN,2022,69.44
Solomon Islands,SLB,2024,74.96
Somalia,SOM,1984,142.76
South Africa,ZAF,2024,39.64
South Korea,KOR,2024,66.19
South Sudan,SSD,2010,64.11
Spain,ESP,2023,63.38
Sri Lanka,LKA,2024,74.23
Sudan,SDN,2015,30.97
Suriname,SUR,2020,62.8
Sweden,SWE,2022,80.34
Switzerland,CHE,2023,36.08
Syria,SYR,2024,50.1
Taiwan,TWN,2024,71.24
Tajikistan,TJK,2020,76.28
Tanzania,TZA,2020,51.19
Thailand,THA,2023,70.32
Togo,TGO,2020,74.27
Trinidad and Tobago,TTO,2020,70.26
Tunisia,TUN,2024,10.61
Turkey,TUR,2023,91.23
Turkmenistan,TKM,2023,79.04
Tuscany,OWID_TUS,1859,50
Uganda,UGA,2021,49.77
Ukraine,UKR,2019,54.21
United Kingdom,GBR,2024,52.79
United States,USA,2024,62.36
Uruguay,URY,2024,92.41
Uzbekistan,UZB,2024,62.78
Vanuatu,VUT,2022,70.59
Vatican,VAT,1849,33.33
Venezuela,VEN,2020,31.38
Vietnam,VNM,2021,94.06
West Germany,OWID_GFR,1990,73.1
World,OWID_WRL,2024,58.786793
Yemen,YEM,2012,54.16
Zambia,ZMB,2021,52.37
Zimbabwe,ZWE,2023,47.74
