Year,0%,0-10%,10-20%,20-30%,30-40%,40-50%,50%+
1900,52,0,0,0,0,0,0
1901,54,0,0,0,0,0,0
1902,55,0,0,0,0,0,0
1903,56,0,0,0,0,0,0
1904,57,0,0,0,0,0,0
1905,58,0,0,0,0,0,0
1906,60,0,0,0,0,0,0
1907,59,1,0,0,0,0,0
1908,60,0,1,0,0,0,0
1909,62,0,1,0,0,0,0
1910,61,1,0,0,0,0,0
1911,61,1,0,0,0,0,0
1912,62,1,0,0,0,0,0
1913,61,0,1,0,0,0,0
1914,60,0,1,0,0,0,0
1915,60,0,1,0,0,0,0
1916,59,0,1,0,0,0,0
1917,57,1,0,0,0,0,0
1918,58,3,0,0,0,0,0
1919,60,5,0,0,0,0,0
1920,59,5,0,0,0,0,0
1921,58,10,0,0,0,0,0
1922,61,10,0,0,0,0,0
1923,60,10,0,0,0,0,0
1924,61,9,0,0,0,0,0
1925,64,9,0,0,0,0,0
1926,64,9,0,0,0,0,0
1927,64,10,0,0,0,0,0
1928,65,10,0,0,0,0,0
1929,66,9,0,0,0,0,0
1930,64,9,0,0,0,0,0
1931,63,11,0,0,0,0,0
1932,70,11,0,0,0,0,0
1933,65,12,0,0,0,0,0
1934,63,11,0,0,0,0,0
1935,61,12,0,0,0,0,0
1936,59,13,0,0,0,0,0
1937,58,13,0,0,0,0,0
1938,62,13,0,0,0,0,0
1939,57,13,0,0,0,0,0
1940,55,11,0,0,0,0,0
1941,55,10,0,0,0,0,0
1942,52,11,0,0,0,0,0
1943,49,11,0,0,0,0,0
1944,51,12,0,0,0,0,0
1945,47,21,0,0,0,0,0
1946,52,34,1,0,0,0,0
1947,60,33,1,0,0,0,0
1948,64,32,3,0,0,0,0
1949,64,33,6,0,0,0,0
1950,64,34,8,1,0,0,0
1951,66,33,9,1,0,0,0
1952,64,36,12,1,0,0,0
1953,61,36,12,1,0,0,0
1954,60,35,12,3,0,0,0
1955,62,35,11,3,0,0,0
1956,58,39,11,3,0,0,0
1957,58,44,10,2,0,0,0
1958,55,45,9,2,0,0,0
1959,52,47,9,2,0,0,0
1960,53,48,8,4,0,0,0
1961,56,49,9,4,0,0,0
1962,54,50,9,4,0,0,0
1963,48,55,12,3,0,0,0
1964,45,58,13,2,0,0,0
1965,38,66,13,2,0,0,0
1966,34,66,14,3,0,0,0
1967,34,65,14,2,1,0,0
1968,35,63,13,3,1,0,0
1969,33,60,14,3,1,0,0
1970,32,60,13,3,2,0,0
1971,29,63,11,6,2,0,0
1972,32,64,9,8,2,0,0
1973,32,71,9,9,2,0,0
1974,28,72,12,7,3,0,0
1975,22,70,13,7,4,0,0
1976,20,68,14,10,3,0,0
1977,21,66,15,10,3,0,0
1978,22,70,15,10,3,0,0
1979,21,73,16,11,4,0,0
1980,17,76,16,11,6,0,0
1981,17,77,16,12,6,0,0
1982,15,81,15,13,6,0,0
1983,14,77,20,13,6,0,0
1984,14,80,20,13,6,0,0
1985,15,80,22,11,8,0,0
1986,13,78,26,10,9,0,0
1987,13,76,29,11,8,0,0
1988,12,71,33,11,9,0,0
1989,11,70,36,12,8,0,0
1990,22,76,35,10,8,0,0
1991,12,93,33,7,6,0,0
1992,14,91,39,7,5,0,0
1993,11,97,40,9,4,0,0
1994,11,90,44,11,4,1,0
1995,11,89,43,14,4,1,0
1996,9,89,44,15,4,1,0
1997,8,88,45,17,4,1,0
1998,9,80,52,17,5,1,0
1999,8,77,50,19,6,1,0
2000,7,72,51,22,6,1,0
2001,8,71,50,25,7,1,0
2002,7,65,55,26,9,1,0
2003,7,61,58,24,11,2,0
2004,7,56,63,25,14,2,0
2005,5,45,69,28,17,2,0
2006,5,47,66,33,17,2,0
2007,5,40,66,39,17,3,0
2008,5,41,63,38,18,3,1
2009,5,41,56,41,19,5,1
2010,5,39,59,42,19,5,1
2011,4,37,60,41,20,8,1
2012,4,32,59,43,23,8,1
2013,4,28,55,48,27,7,1
2014,3,26,59,44,29,11,2
2015,4,26,59,40,33,11,2
2016,4,23,57,45,34,10,2
2017,4,20,58,45,38,9,2
2018,4,17,57,51,34,10,3
2019,3,18,50,55,30,16,3
2020,3,17,42,64,29,17,3
2021,4,17,42,52,33,21,3
2022,3,15,44,48,34,24,3
2023,1,14,45,48,35,24,3
2024,2,15,40,46,39,23,3
